Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2010,Employment,Total,Total,3891.419547,4705.053581,5404.237334,8592.769252,9359.170619,9088.216589,9567.890884,10743.71703,9784.065715,6866.077097,4609.216361,4216.966136,7235.733346,FTEs
2010,Employment,Accommodation,Accommodation,2265.741133,2284.143426,2354.524291,2403.723782,2412.361162,2406.831828,2418.270442,2418.471455,2418.331126,2385.629686,2313.713796,2282.160955,2363.65859,FTEs
2010,Employment,Food & Drink,Food & Drink,419.4729116,618.3067832,776.5807522,1561.054478,1768.353557,1711.560402,1794.405897,2093.654094,1873.371237,1141.589631,589.1544275,499.9984047,1237.291881,FTEs
2010,Employment,Recreation,Recreation,196.1094459,290.7535883,369.6445732,760.3414892,883.3708789,853.0273288,885.7184867,1044.512152,933.7153567,543.471989,277.5752514,232.6945008,605.9112534,FTEs
2010,Employment,Shopping,Shopping,490.4118534,726.0928188,925.0739194,1930.318457,2090.632275,1972.075417,2109.556674,2445.138463,2220.007064,1356.76569,682.2095786,573.0917765,1460.114499,FTEs
2010,Employment,Transport,Transport,99.33626643,145.2400594,184.9020479,379.2931303,443.3370466,428.9584052,444.2582473,524.6874535,468.0170925,271.9198365,139.5188007,117.5397335,303.9173433,FTEs
2010,Visitor Days,Serviced Accommodation,Serviced Accommodation,22.00202749,28.98757425,35.57619191,49.91061293,55.88816895,57.18296925,59.64910203,65.44103632,57.85247792,53.62981786,34.16452848,27.69632741,547.9808348,000s
2010,Visitor Days,Non-Serviced Accommodation,Non-Serviced Accommodation,38.20591987,78.4726948,92.43581826,166.7718991,308.6524666,341.8107431,309.0173747,393.2916594,325.8119335,139.1276798,73.82097722,59.06309192,2326.482258,000s
2010,Visitor Days,SFR,SFR,19.40018104,6.844236487,7.843885652,16.66058753,11.82670883,9.595553896,14.16978401,14.92402416,8.678068886,7.982126257,6.117906037,17.48686564,141.5299284,000s
2010,Visitor Days,Day Visitor,Day Visitor,212.1694041,325.6953327,420.1818916,912.960604,882.4813118,791.100893,891.7691938,1006.278061,945.6557339,615.9014065,298.5139397,241.0035293,7543.711301,000s
2010,Visitor Days,Total,Total,291.7775325,439.9998383,556.0377875,1146.303703,1258.848656,1199.690159,1274.605455,1479.934781,1337.998214,816.6410304,412.6173514,345.2498143,10559.70432,000s
2010,Visitor Numbers,Serviced Accommodation,Serviced Accommodation,13.01605997,16.42261554,19.47171611,27.52304141,29.61337597,29.33021832,29.80724507,31.61692622,31.50358235,31.47612179,21.14284248,15.69850565,296.6222509,000s
2010,Visitor Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,5.563968913,10.40138812,14.75039653,28.53511581,50.9701321,52.58626817,43.93611963,56.99879122,44.9740399,23.71494541,13.53134002,10.10585223,356.0683581,000s
2010,Visitor Numbers,SFR,SFR,7.760072417,3.259160232,3.648318908,6.170587974,5.375776742,4.569311379,5.667913603,5.740009292,3.999110086,3.729965541,3.013746816,6.725717554,59.65969054,000s
2010,Visitor Numbers,Day Visitor,Day Visitor,212.1694041,325.6953327,420.1818916,912.960604,882.4813118,791.100893,891.7691938,1006.278061,945.6557339,615.9014065,298.5139397,241.0035293,7543.711301,000s
2010,Visitor Numbers,Total,Total,238.5095054,355.7784966,458.0523232,975.1893492,968.4405966,877.5866908,971.1804721,1100.633788,1026.132466,674.8224392,336.201869,273.5336047,8256.061601,000s
2010,Vehicle Days,Serviced Accommodation,Serviced Accommodation,6.245919172,10.93489861,13.93843402,14.04631975,17.24371717,17.02428963,16.77352652,18.34042748,16.24961475,15.749599,10.24330103,7.959849787,164.7498969,000s
2010,Vehicle Days,Non-Serviced Accommodation,Non-Serviced Accommodation,11.00460493,28.01952149,27.25614647,44.49763105,91.40571567,101.1642578,84.32657982,106.509371,96.38310207,37.5167635,21.28155996,13.63387143,662.9991252,000s
2010,Vehicle Days,SFR,SFR,5.496717962,1.939200338,2.222434268,4.7204998,3.350900836,2.718740271,4.014772136,4.228473511,2.458786184,2.26160244,1.73340671,4.954611932,40.10014639,000s
2010,Vehicle Days,Day Visitor,Day Visitor,50.39023347,88.40301889,114.0493706,205.4161359,198.5582952,203.4259439,200.6480686,226.4125637,224.5932368,167.1732389,81.0252122,57.23833821,1817.333656,000s
